# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-05-05	5257	264	56	15	664
2020-05-06	5263	265	47	14	671
2020-05-07	5270	270	37	13	686
2020-05-08	5276	270	31	9	694
2020-05-09	5285	271	31	7	700
2020-05-10	5286	273	34	7	707
2020-05-11	5291	273	30	6	709
2020-05-12	5301	274	25	5	711
2020-05-13	5305	275	20	5	722
2020-05-14	5312	275	21	6	734
2020-05-15	5317	275	21	7	736
2020-05-16	5319	275	19	5	737
2020-05-17	5320	277	17	3	738
2020-05-18	5321	278	16	4	739
2020-05-19	5323	278	13	0	743
2020-05-20	5330	278	11	0	746
2020-05-21	5335	281	14	0	763
2020-05-22	5337	281	12	0	765
2020-05-23	5339	281	9	0	773
2020-05-24	5339	281	9	0	773
2020-05-25	5339	282	10	0	775
2020-05-26	5342	282	11	0	780
2020-05-27	5345	282	6	0	788
2020-05-28	5347	282	7	0	792
2020-05-29	5351	282	5	0	797
2020-05-30	5356	282	2	0	
2020-05-31	5356	282	2	0	
2020-06-01	5357	282	2	0	
2020-06-02	5360	282	7	1	807
2020-06-03	5362	282	6	1	811
2020-06-04	5364	282	9	1	817
2020-06-05	5366	282	7	1	821
2020-06-06	5369	282	3		
2020-06-07	5369	282	3		
2020-06-08	5370	282	8	1	
2020-06-09	5370	282	10	1	826
2020-06-10	5372	283	10	1	831
2020-06-11	5372	283	5	1	835
2020-06-12	5376	283	7	1	836
2020-06-13	5376	283	7	1	
2020-06-14	5376	283	7	1	
2020-06-15	5378	283	4	0	844
2020-06-16	5378	283	4	0	847
2020-06-17	5379	283	4	0	848
2020-06-18	5379	283	2	0	851
2020-06-19	5383	283	0	0	870
2020-06-20	5387	283	0	0	
2020-06-21	5387	283	0	0	
2020-06-22	5388	283	5	1	877
2020-06-23	5391	283	6	2	877
2020-06-24	5393	283	2	0	878
2020-06-25	5395	283	4	2	885
2020-06-26	5398	283	3	1	886
2020-06-27	5398	283	2	1	
2020-06-28	5399	283	2	1	
2020-06-29	5406	283	5	1	886
2020-06-30	5410	283	4	1	890
2020-07-01	5411	283	4	1	893
2020-07-02	5416	283	3	1	895
2020-07-03	5418	283	2	1	895
2020-07-04	5421	283	2	1	
2020-07-05	5423	283	2	1	
2020-07-06	5430	283	6	1	896
2020-07-07	5434	283	9	2	896
2020-07-08	5438	283	3	2	898
2020-07-09	5446	283	4	2	898
2020-07-10	5454	283	4	2	902
2020-07-11	5458	283	4	2	
2020-07-12	5460	283	4	2	
2020-07-13	5466	283	4	2	908
2020-07-14	5478	283	4	1	909
2020-07-15	5500	283	3	1	909
2020-07-16	5514	283	3	1	909
2020-07-17	5527	283	3	1	912
2020-07-18	5540	283	5	0	
2020-07-19	5544	283	5	0	
2020-07-20	5561	283	5	0	915
2020-07-21	5591	283	6	0	916
2020-07-22	5620	283	4	0	920
2020-07-23	5666	283	2	1	924
2020-07-24	5708	283	4	1	924
2020-07-25	5749	283	4	1	
2020-07-26	5760	283	4	1	
2020-07-27	5822	283	7	1	925
2020-07-28	5866	283	6	1	926
2020-07-29	5928	283	8	1	931
2020-07-30	5982	283	11	1	933
2020-07-31	6013	284	11	1	936
2020-08-01	6043	284	11	1	
2020-08-02	6065	284	11	1	
2020-08-03	6100	284	11	1	936
2020-08-04	6133	284	17	2	936
2020-08-05	6164	284	17	2	937
2020-08-06	6199	284	13	2	941
2020-08-07	6244	284	11	2	945
2020-08-08	6270	284	11	2	
2020-08-09	6304	284	11	2	
2020-08-10	6340	284	12	1	946
2020-08-11	6397	284	9	2	948
2020-08-12	6429	284	10	2	949
2020-08-13	6472	284	11	2	951
2020-08-14	6500	284	14	2	952
2020-08-15	6527	285	14	2	
2020-08-16	6546	285	14	2	958
2020-08-17	6587	285	14	0	959
2020-08-18	6625	285	11	0	961
2020-08-19	6654	285	7	0	962
2020-08-20	6694	285	11	0	965
2020-08-21	6734	285	10	0	968
2020-08-22	6749	285	10	0	
2020-08-23	6770	285	10	0	
2020-08-24	6797	285	9	0	971
2020-08-25	6832	285	9	0	973
2020-08-26	6870	285	12	0	
2020-08-27	6918	285	16	0	
2020-08-28	6963	285	14	0	
2020-08-29	7006	285	14	0	
2020-08-30	7039	285	14	0	
2020-08-31	7078	286	10	0	
2020-09-01	7134	286	10	0	
2020-09-02	7181	287	12	0	
2020-09-03	7233	287	16	0	
2020-09-04	7278	288	12	0	
2020-09-05	7311	289	12	0	
2020-09-06	7333	289	12	0	
2020-09-07	7372	289	12	0	
2020-09-08	7413	289	13	0	
2020-09-09	7456	290	13	0	
2020-09-10	7505	290	13	0	
2020-09-11	7546	290	15	0	
2020-09-12	7602	291	15	0	
2020-09-13	7628	291	15	0	
2020-09-14	7678	291	18	1	
2020-09-15	7739	292	26	1	
2020-09-16	7811	292	23	1	
2020-09-17	7869	292	25	1	
2020-09-18	7930	293	24	1	
2020-09-19	7978	293	26	1	
2020-09-20	8003	293	26	1	
2020-09-21	8048	294	28	1	
2020-09-22	8116	294	29	2	
2020-09-23	8165	295	29	2	
2020-09-24	8205	295	20	1	
2020-09-25	8244	295	20	1	
2020-09-26	8276	295	20	1	
2020-09-27	8291	295	20	1	
2020-09-28	8326	296	23	2	
2020-09-29	8382	296	23	2	
2020-09-30	8442	296	22	1	
2020-10-01	8518	297	25	2	
2020-10-02	8580	297	24	1	
2020-10-03	8647	297	24	1	
2020-10-04	8684	298	24	1	
2020-10-05	8774	298	35	2	
2020-10-06	8909	298	35	2	
2020-10-07	9021	298	42	2	
2020-10-08	9177	298	42	3	
2020-10-09	9342	299	41	3	
2020-10-10	9515	300	46	2	
2020-10-11	9596	300	50	2	
2020-10-12	9784	301	56	2	
2020-10-13	10090	303	62	3	
2020-10-14	10361	303	71	4	
2020-10-15	10626	304	69	3	
2020-10-16	11015	304	87	4	
2020-10-17	11312	305	98	7	
2020-10-18	11465	305	111	7	
2020-10-19	11826	305	124	6	
2020-10-20	12466	305	162	7	
2020-10-21	13015	305	188	7	
2020-10-22	13792	306	201	10	
2020-10-23	14646	309	224	9	
2020-10-24	15245	309	248	12	
2020-10-25	15639	311	288	12	
2020-10-26	16406	311	333	12	
2020-10-27	17616	312	363	16	
2020-10-28	18810	314	405	17	
2020-10-29	19830	318	419	15	
2020-10-30	21194	321	458	17	
2020-10-31	21960	326	456	16	
2020-11-01	22322	331	474	17	
2020-11-02	23028	336	493	17	
2020-11-03	24118	345	521	20	
2020-11-04	25443	351	542	25	
2020-11-05	26621	360	559	28	
2020-11-06	27550	372	572	24	
2020-11-07	28201	379	582	23	
2020-11-08	28537	383	608	27	
2020-11-09	29492	398	631	26	
2020-11-10	30372	407	638	29	
2020-11-11	31173	417	620	28	
2020-11-12	31834	428	630	30	
2020-11-13	32378	434	629	29	
2020-11-14	32732	449	635	32	
2020-11-15	32908	455	639	32	
2020-11-16	33349	468	642	31	
2020-11-17	33787	482	606	30	
2020-11-18	34127	502	568	27	
2020-11-19	34450	511	533	28	
2020-11-20	34691	522	497	27	
2020-11-21	34847	530	465	29	
2020-11-22	34971	532	461	29	
2020-11-23	35220	540	460	28	
2020-11-24	35543	544	445	26	
2020-11-25	35739	547	418	26	
2020-11-26	35932	555	373	25	
2020-11-27	36147	562	355	24	
2020-11-28	36274	570	337	20	
2020-11-29	36338	574	337	19	
2020-11-30	36541	580	344	18	
2020-12-01	36738	587	313	18	
2020-12-02	36900	591	310	18	
2020-12-03	37082	596	290	16	
2020-12-04	37230	599	259	18	
2020-12-05	37318	604	243	22	
2020-12-06	37371	608	242	21	
2020-12-07	37597	611	241	20	
2020-12-08	37774	617	223	21	
2020-12-09	37955	619	217	19	
2020-12-10	38083	620	198	16	
2020-12-11	38230	620	198	17	
2020-12-12	38329	622	201	19	
2020-12-13	38403	622	203	18	
2020-12-14	38578	623	212	20	
2020-12-15	38786	626	197	20	
2020-12-16	38909	630	190	19	
2020-12-17	39064	632	163	17	
2020-12-18	39238	634	156	16	
2020-12-19	39340	638	153	16	
2020-12-20	39429	638	147	12	
2020-12-21	39610	638	150	13	
2020-12-22	39768	640	139	13	
2020-12-23	39945	641	137	12	
2020-12-24	40074	644	134	12	
2020-12-25	40117	645	133	13	
2020-12-26	40203	649	141	12	
2020-12-27	40266	654	144	11	
2020-12-28	40446	655	144	11	
2020-12-29	40615	658	146	11	
2020-12-30	40791	662	138	7	
2020-12-31	40908	665	122	6	
2021-01-01	40955	667	120	7	
2021-01-02	41061	670	123	5	
2021-01-03	41131	671	131	4	
2021-01-04	41273	673	135	5	
2021-01-05	41426	675	127	5	
2021-01-06	41558	678	120	6	
2021-01-07	41694	679	117	5	
2021-01-08	41815	680	124	6	
2021-01-09	41909	684	117	5	
2021-01-10	41975	684	123	5	
2021-01-11	42133	684	132	6	
2021-01-12	42282	686	121	7	
2021-01-13	42425	686	118	6	
2021-01-14	42566	686	128	7	
2021-01-15	42703	687	115	7	
2021-01-16	42808	690	114	6	
2021-01-17	42840	691	114	5	
2021-01-18	43033	692	113	6	
2021-01-19	43185	694	114	8	
2021-01-20	43317	694	116	9	
2021-01-21	43437	695	117	8	
2021-01-22	43555	696	125	8	
2021-01-23	43631	696	122	7	
2021-01-24	43690	698	128	6	
2021-01-25	43834	698	124	6	
2021-01-26	43977	700	118	7	
2021-01-27	44098	701	128	9	
2021-01-28	44257	701	127	8	
2021-01-29	44407	701	120	11	
2021-01-30	44509	702	113	11	
2021-01-31	44571	702	122	11	
2021-02-01	44691	704	126	11	
2021-02-02	44841	704	112	12	
2021-02-03	44970	707	111	12	
2021-02-04	45114	709	110	12	
2021-02-05	45259	710	112	12	
2021-02-06	45347	711	105	12	
2021-02-07	45394	711	112	11	
2021-02-08	45539	712	117	12	
2021-02-09	45655	713	104	10	
2021-02-10	45779	713	93	9	
2021-02-11	45911	713	87	9	
2021-02-12	46021	713	85	12	
2021-02-13	46094	715	84	9	
2021-02-14	46149	715	90	10	
2021-02-15	46240	715	96	10	
2021-02-16	46349	715	87	10	
2021-02-17	46466	717	89	10	
2021-02-18	46552	719	90	11	
2021-02-19	46647	719	81	10	
2021-02-20	46716	719	85	10	
2021-02-21	46775	719	93	10	
2021-02-22	46898	719	98	12	
2021-02-23	47024	719	80	12	
2021-02-24	47125	719	73	9	
2021-02-25	47217	720	70	11	
2021-02-26	47307	721	67	10	
2021-02-27	47370	721	67	9	
2021-02-28	47418	721	66	10	
2021-03-01	47546	721	63	9	
2021-03-02	47647	722	58	9	
2021-03-03	47747	724	65	8	
2021-03-04	47816	724	61	6	
2021-03-05	47922	724	62	7	
2021-03-06	48004	725	63	5	
2021-03-07	48059	725	64	5	
2021-03-08	48178	725	55	5	
2021-03-09	48279	725	57	5	
2021-03-10	48395	725	58	6	
2021-03-11	48514	725	59	5	
2021-03-12	48658	725	60	7	
2021-03-13	48732	725	65	8	
2021-03-14	48804	725	69	8	
2021-03-15	48946	725	72	8	
2021-03-16	49084	725	72	7	
2021-03-17	49232	725	72	6	
2021-03-18	49384	725	72	4	
2021-03-19	49538	725	72	4	
2021-03-20	49660	725	65	6	
2021-03-21	49733	725	72	6	
2021-03-22	49895	725	76	7	
2021-03-23	50058	727	78	5	
2021-03-24	50208	727	82	5	
2021-03-25	50390	727	79	6	
2021-03-26	50545	727	70	5	
2021-03-27	50679	727	78	7	
2021-03-28	50757	728	83	8	
2021-03-29	50942	728	81	8	
2021-03-30	51099	728	81	8	
2021-03-31	51254	728	83	8	
2021-04-01	51416	728	73	6	
2021-04-02	51524	728	81	8	
2021-04-03	51623	728	93	8	
2021-04-04	51739	730	109	9	
2021-04-05	51836	731	115	9	
2021-04-06	52005	733	111	10	
2021-04-07	52193	733	110	8	
2021-04-08	52394	733	98	9	
2021-04-09	52541	733	102	10	
2021-04-10	52697	733	98	10	
2021-04-11	52815	733	104	10	
2021-04-12	53015	733	101	11	
2021-04-13	53238	733	93	11	
2021-04-14	53417	733	83	12	
2021-04-15	53581	733	79	12	
2021-04-16	53748	733	77	12	
2021-04-17	53857	733	82	12	
2021-04-18	53956	734	86	11	
2021-04-19	54118	734	83	10	
2021-04-20	54313	735	74	13	
2021-04-21	54480	735	76	13	
2021-04-22	54609	735	81	13	
2021-04-23	54803	735	78	10	
2021-04-24	54934	736	89	12	
2021-04-25	54997	736	92	12	
2021-04-26	55168	736	96	10	
2021-04-27	55330	738	89	9	
2021-04-28	55506	738	91	8	
2021-04-29	55654	738	81	7	
2021-04-30	55808	738	74	7	
2021-05-01	55907	739	80	5	
2021-05-02	55996	740	77	7	
2021-05-03	56118	740	76	7	
2021-05-04	56280	740	70	7	
2021-05-05	56415	741	55	8	
2021-05-06	56566	741	57	9	
2021-05-07	56729	741	62	10	
2021-05-08	56730	742			
